order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item,order_total,avg_item_price,unique_categories,unique_brands,order_month,order_year,order_day_of_week,days_to_ship,days_to_deliver,days_to_return
122629,98321,Shipped,M,2025-06-02 19:35:50.854540+00:00,,2025-06-04 23:29:50.854540+00:00,,1,28.0,28.0,1,1,6,2025,2,2,,
49503,39590,Shipped,F,2025-06-02 19:25:33.944062+00:00,,2025-06-03 10:17:33.944062+00:00,,1,85.94999694824217,85.94999694824217,1,1,6,2025,2,1,,
49504,39590,Shipped,F,2025-06-02 19:25:33.944062+00:00,,2025-06-05 11:27:33.944062+00:00,,2,102.53000259399414,51.26500129699707,2,2,6,2025,2,3,,
78955,63309,Cancelled,M,2025-06-02 19:17:31.585953+00:00,,,,2,71.98000144958496,35.99000072479248,2,2,6,2025,2,,,
82841,66459,Shipped,M,2025-06-02 19:13:10.699563+00:00,,2025-06-05 17:31:10.699563+00:00,,2,124.97999954223633,62.489999771118164,2,2,6,2025,2,3,,
60920,48822,Processing,F,2025-06-02 19:10:34.306876+00:00,,,,3,295.0,98.33333333333333,3,3,6,2025,2,,,
60919,48822,Cancelled,F,2025-06-02 19:10:34.306876+00:00,,,,1,59.0,59.0,1,1,6,2025,2,,,
60918,48822,Shipped,F,2025-06-02 19:10:34.306876+00:00,,2025-06-04 23:50:34.306876+00:00,,2,113.97000026702881,56.985000133514404,2,2,6,2025,2,2,,
60917,48822,Processing,F,2025-06-02 19:10:34.306876+00:00,,,,1,23.0,23.0,1,1,6,2025,2,,,
80668,64713,Complete,M,2025-06-02 19:09:49.349387+00:00,,2025-06-03 14:21:49.349387+00:00,2025-06-08 05:22:49.349387+00:00,1,338.0,338.0,1,1,6,2025,2,1,5,
80669,64713,Shipped,M,2025-06-02 19:09:49.349387+00:00,,2025-06-04 11:59:49.349387+00:00,,1,17.950000762939453,17.950000762939453,1,1,6,2025,2,2,,
78450,62890,Processing,F,2025-06-02 19:09:25.888011+00:00,,,,1,34.5,34.5,1,1,6,2025,2,,,
