product_id,name,category,brand,department,cost,retail_price,sku,profit,total_inventory_items,sold_items,avg_inventory_cost,first_inventory_date,last_sale_date
21634,LRG The Travel Unravel TS Jeans in Dark Charcoal,Jeans,LRG,Men,36.08699993882328,69.0,D543CA8A30AEA952046A5E6827CB1B73,32.91300006117672,55,19,36.09,2019-07-09 00:33:48+00:00,2025-06-02 11:31:17.832748+00:00
18791,CHAMPION BACKCOURT DOUBLBE DRY SHORT - BB15,Active,Champion,Men,13.82400006055832,32.0,DA7CDA585DCC405BD9E86EE7A510FC67,18.17599993944168,43,18,13.82,2020-01-24 14:27:00+00:00,2025-05-28 18:55:32+00:00
24139,Kenneth Cole Men's Melton Toggle Coat,Outerwear & Coats,Kenneth Cole,Men,45.7954190782252,99.98999786376952,9C3CFDC8A01E0B6D22A4CEC0AB80440A,54.194578785544316,44,18,45.8,2020-01-22 10:48:00+00:00,2025-06-02 05:29:35.869397+00:00
22887,Famous Stars and Straps Men's Fms Chino Twill Shorts,Shorts,Famous Stars and Straps,Men,20.359999984502792,40.0,563042FFAC57C41281CD96C9C155B0EC,19.640000015497208,49,17,20.36,2020-02-17 13:58:00+00:00,2025-06-02 02:58:31.975277+00:00
26478,Intimo Men's Classic Silk Pajama Set,Sleep & Lounge,Intimo,Men,54.88169838254453,149.9499969482422,EBB9A55061AF33B68D38F7CE72E4460F,95.06829856569766,46,17,54.88,2020-03-31 05:22:00+00:00,2025-03-06 11:42:54+00:00
27901,DC Men's Cartridge Engineered Splatter Print Board Short,Swim,DC,Men,29.862000167369843,54.0,62AB3CE23F9884DB423CE886EB945289,24.137999832630157,48,17,29.86,2019-03-28 18:53:29+00:00,2025-05-28 15:39:40+00:00
23619,KR3W Beckley Shorts - Grey,Shorts,KR3W,Men,21.139950393825025,43.950000762939446,8E03DDB0982E1DEB2023DB3758F12EF5,22.81005036911442,41,17,21.14,2020-01-06 02:07:00+00:00,2025-02-14 16:00:37+00:00
19344,Kenneth Cole Men's Stripe Shawl Sweater,Sweaters,Kenneth Cole,Men,42.426798059229554,81.58999633789062,9BD78711CA7A73F270C150B52D9756F8,39.16319827866107,46,17,42.43,2020-01-16 07:09:00+00:00,2025-06-04 16:03:32+00:00
18039,Quiksilver Men's Ante Up Hoodie Sweatshirt Full Zip 110201-Gray,Fashion Hoodies & Sweatshirts,Quiksilver,Men,25.452839465979338,43.959999084472656,62B4521AEC8FE13AD75560A2B41B2F95,18.50715961849332,47,17,25.45,2019-08-18 16:52:17+00:00,2025-05-23 02:39:13+00:00
11410,Ilusion Women's Antistatic Vintage-style Lace Full Slip White M,Intimates,Under Moments,Women,8.783829865718335,16.989999771118164,1FA734CAF1090F7AF9249745564EC09B,8.206169905399829,57,17,8.78,2020-03-25 00:42:00+00:00,2025-06-01 21:06:03+00:00
28003,Oneill Men's Lopezfreak Short,Swim,O'Neill,Men,44.10000005736947,70.0,1E067906FA07C8FBD7A3CB7952FE4EA1,25.89999994263053,42,16,44.1,2020-02-01 05:19:00+00:00,2025-05-22 21:11:35+00:00
25042,Omni-Wool Merino Wool Endurance Pro Quarter Sock (2 pair),Socks,Omni-Wool,Men,14.2537998820737,22.989999771118164,4F7E82050E79D3F6A24897B6413CB90F,8.736199889044464,43,16,14.25,2020-02-14 02:38:00+00:00,2025-05-30 05:42:20+00:00
25936,Calvin Klein Men's Bold Trunk,Underwear,Calvin Klein,Men,12.628000035881996,28.0,54F9EB2F4102265B326BCF235660E9F0,15.371999964118004,48,16,12.63,2020-02-03 09:53:00+00:00,2025-05-25 06:15:39+00:00
20596,Lee Men's Regular Fit Straight Leg Jean,Jeans,Lee,Men,19.32000003755093,40.0,C9ECA6CFF4F25C6B73BE4BFBD546B1D3,20.67999996244907,45,16,19.32,2019-11-02 18:01:11+00:00,2025-01-18 11:21:13+00:00
24252,Columbia Men's Tall Rare Earth Interchange Jacket,Outerwear & Coats,Columbia,Men,95.57609856509566,199.94999694824216,2F93B699C738691D0B53D82ED1E25817,104.3738983831465,44,16,95.58,2020-09-11 10:26:00+00:00,2025-02-10 00:24:08+00:00
29020,100% Genuine Leather Bi-fold Badge Holder Black #2518TA,Accessories,Marshal,Men,4.7999999821186075,12.0,3F5CD3A48812C9FD54FBA7F63D556F3E,7.2000000178813925,49,16,4.8,2020-06-16 10:49:00+00:00,2025-05-26 21:54:34+00:00
27434,Speedo Men's Keepin' On Short Sleeve Rashguard Swim Tee,Swim,Speedo,Men,17.89200050342083,31.950000762939453,4BD38459B51DAA051B296C53E525C2AB,14.058000259518622,46,16,17.89,2020-04-13 07:21:00+00:00,2025-05-18 01:48:52+00:00
25678,Underworks Mens Ultra Light Cotton Spandex Compression Tank,Underwear,Underworks,Men,7.815399909904599,16.989999771118164,C6B2AA071387A2E68359D61F88EA16F6,9.174599861213565,40,16,7.82,2020-03-24 13:13:00+00:00,2025-05-27 08:18:48+00:00
10229,Only Necessities Plus Size Silky soft tricot 2-pc pjs,Sleep & Lounge,Only Necessities,Women,19.69937098043144,34.9900016784668,70876DF606415B050DF59005C3CFF238,15.290630698035358,46,16,19.7,2020-02-18 09:33:00+00:00,2025-04-18 13:14:11+00:00
